datetime,price,tickersymbol,futurecontractcode
2024-01-02 09:28:14.792443,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:20.891150,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:20.891150,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:20.891150,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:24.995503,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:24.995503,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:24.995503,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:33.515143,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:33.515143,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:33.515143,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:37.603171,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:37.603171,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:37.603171,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:39.624966,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:39.624966,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:39.624966,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:50.815474,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:50.815474,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:50.815474,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:55.082140,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:55.082140,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:55.082140,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:56.921133,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:56.921133,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:56.921133,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:28:59.180841,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:28:59.180841,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:28:59.180841,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:03.219346,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:03.219346,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:03.219346,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:09.733071,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:09.733071,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:09.733071,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:11.650117,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:11.650117,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:11.650117,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:15.715897,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:15.715897,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:15.715897,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:22.668348,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:22.668348,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:22.668348,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:27.135578,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:27.135578,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:27.135578,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:35.078220,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:35.078220,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:35.078220,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:37.330645,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:37.330645,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:37.330645,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:39.369087,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:39.369087,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:39.369087,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:45.466375,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:45.466375,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:45.466375,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:53.215664,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:53.215664,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:53.215664,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:55.037293,1139.60,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:55.037293,1139.60,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:55.037293,1139.60,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:29:57.285333,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:29:57.285333,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:29:57.285333,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:01.556914,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:01.556914,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:01.556914,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:06.667131,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:06.667131,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:06.667131,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:09.984072,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:09.984072,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:09.984072,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:10.969819,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:10.969819,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:10.969819,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:13.167662,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:13.167662,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:13.167662,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:15.204047,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:15.204047,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:15.204047,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:17.239234,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:17.239234,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:17.239234,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:19.277487,1140.00,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:19.277487,1140.00,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:19.277487,1140.00,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:23.555898,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:23.555898,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:23.555898,1139.90,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:32.900744,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:32.900744,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:32.900744,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:39.021659,1139.70,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:39.021659,1139.70,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:39.021659,1139.70,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:45.303183,1139.80,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:45.303183,1139.80,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
2024-01-02 09:30:45.303183,1139.80,VN30F2401,"(VN30F2401,2024-01-03,VN30F1M)"
2024-01-02 09:30:49.395483,1139.90,VN30F2401,"(VN30F2401,2024-01-01,VN30F1M)"
2024-01-02 09:30:49.395483,1139.90,VN30F2401,"(VN30F2401,2024-01-02,VN30F1M)"
